name,dob,tel
Timothy Nabunya,2005-11-18,+256765262632
Namukasa Nalugo,1977-01-19,+256716462506
Patience Kizza,1960-02-25,+256750744682
Naomi Nankunda,1977-09-04,+256799033725
Esther Nankunda,1989-08-15,+256767235969
Michael Tumusiime,1986-12-10,+256395266630
Michael Nankya,1989-04-06,+256795188935
Faith Namukasa,1977-03-18,+256774960271
Naomi Nabukeera,1986-12-31,+256776361002
Nakato Okello,1987-04-06,+256779192860
Timothy Okumu,1988-11-28,+256753526280
Victoria Ocen,1979-03-04,+256787411939
Apio Kato,1967-08-10,+256797938746
Michael Adoch,1990-01-26,+256758647849
Naomi Namutebi,1980-02-26,+256713940441
Brian Mugisha,1981-12-19,+256742472189
Winnie Nankya,1977-06-11,+256781221854
Simon Mukasa,1973-03-28,+256778294272
Namukasa Byaruhanga,1998-02-21,+256310093026
Okello Nalubowa,2006-06-20,+256742950888
Faith Mukasa,1970-11-20,+256780842524
Okello Lubega,1988-06-19,+256782237058
Timothy Muwonge,2000-01-02,+256788468772
Victoria Nambi,1982-03-07,+256727963715
Tasha Ssempijja,2003-06-23,+256314652512
Moses Auma,1966-12-13,+256314013879
Moses Asiimwe,1988-09-06,+256753934149
Irene Ochieng,1980-09-29,+256791351868
Patience Akello,1965-10-05,+256772563646
Rachel Atim,2001-10-19,+256776838382
Kevin Nankya,1994-12-10,+256771044645
Babirye Nalugo,1994-02-15,+256390327691
Nalubega Bbosa,1986-10-15,+256780098919
Emmanuel Atim,1979-10-14,+256777030010
Moses Kizza,2003-07-27,+256783681284
Rachel Nankunda,1996-04-09,+256706523941
Nabukeera Namukasa,1962-06-02,+256727841505
George Nankunda,1962-06-07,+256779930312
Irene Lubega,1976-04-20,+256717190929
Sarah Otim,1978-12-27,+256704364698
Rachel Kyeyune,1984-12-17,+256785483562
Nakato Achieng,2002-03-12,+256774232413
David Bbosa,1980-02-12,+256709049949
Tasha Kirabo,1963-08-12,+256311151225
Julie Nalwoga,1973-09-02,+256704148725
Andrew Nankunda,1970-04-06,+256742117636
Winnie Nalubowa,1982-12-27,+256393656838
Isaac Nabunya,1970-04-11,+256762815034
Grace Okumu,1962-04-21,+256725218367
Naomi Kyeyune,1995-08-02,+256759660266
Hellen Nalubowa,1981-10-14,+256741275009
Babirye Ocen,1970-11-10,+256715059717
Rebecca Atim,1998-06-07,+256390689025
Esther Nabirye,1990-08-12,+256316217147
Akello Okot,1969-06-20,+256707047416
Kenneth Lubega,1973-09-22,+256776076506
Richard Ssempijja,1984-03-25,+256772955087
Tasha Nalukenge,2001-09-14,+256399029043
Moses Otim,1982-01-09,+256779940074
Kato Auma,1981-11-16,+256714679639
Joyce Nankunda,1993-12-31,+256789560490
Betty Otim,1976-04-24,+256760481506
Rebecca Nambi,1990-07-14,+256783558780
Faith Okello,2006-05-07,+256754635017
Mark Nankya,2003-10-31,+256741436347
Oliver Nalukenge,2004-01-13,+256794031966
Francis Kigozi,1979-11-18,+256780289293
Paul Nankunda,1993-02-08,+256774081983
Diana Bbosa,1998-03-04,+256789285735
Rebecca Nalubowa,2000-09-15,+256795549757
Mary Ssekandi,1970-10-28,+256755144280
Hassan Atim,1976-08-10,+256745294016
Ruth Nalukenge,1984-10-21,+256743630331
Isaac Kigozi,1969-01-07,+256398801946
Lilian Nalubega,1976-02-05,+256744970190
Patience Atim,1971-05-10,+256750237370
David Muwonge,1986-03-17,+256750763626
Grace Okello,1985-07-05,+256728235577
Victoria Asiimwe,1976-07-16,+256788031491
Nalubega Nalukenge,1970-03-27,+256704235884
Betty Ssebunya,1964-10-22,+256716722755
Okello Nalugo,1987-04-05,+256722503120
Hassan Muwonge,1997-05-03,+256714163953
Tasha Ssempijja,1994-02-15,+256393786401
Paul Okumu,1998-06-21,+256787427625
Joyce Nakato,1968-11-25,+256759540019
Mary Nankunda,1967-04-14,+256743540415
Joseph Muwonge,1966-09-25,+256724024269
Susan Auma,2002-02-27,+256720044891
Lilian Kigozi,1985-05-13,+256750547605
Naomi Ssekandi,1983-09-25,+256781194198
Michael Wanyama,1998-02-20,+256319895027
Lilian Kirabo,1973-05-14,+256719136240
Esther Nakato,1974-11-19,+256752386328
Ruth Nalugo,1985-11-22,+256759983182
Winnie Nalubowa,1987-04-13,+256782086308
Charles Atim,2004-04-19,+256774567533
Isaac Mugisha,1998-10-04,+256781349590
Brian Achieng,1980-07-15,+256764200476
Hellen Nalwoga,1984-03-06,+256319650239
Samuel Nabukeera,2002-03-18,+256390674975
Nabukeera Odongo,1976-04-13,+256797419378
Kenneth Okot,1968-03-08,+256397312936
Susan Asiimwe,1988-10-20,+256785837817
Babirye Kato,1989-08-03,+256311754894
Nancy Nankunda,1995-12-05,+256778312590
Winnie Achieng,1988-03-20,+256790615675
Hassan Opio,2006-03-02,+256755423634
Winnie Nankya,1964-11-11,+256709103209
Ronald Walusimbi,2004-09-20,+256748697969
Samuel Nakato,1978-04-06,+256317416216
Irene Kigozi,1999-04-22,+256759214376
Brian Adoch,1981-06-20,+256782037191
Faith Okello,1996-08-08,+256725213522
Nakato Tumusiime,2001-05-25,+256713769851
Betty Kintu,1986-03-08,+256712583206
Susan Nalukenge,2002-05-13,+256794587308
Faith Ochieng,1994-05-31,+256747663605
Ruth Namukasa,1966-04-06,+256748526867
Rachel Nabirye,1983-12-20,+256756961578
Richard Namutebi,2003-12-05,+256704745250
Emmanuel Nalukenge,1990-12-18,+256727491822
Samuel Atim,1993-11-03,+256769259637
Wasswa Wanyama,1981-06-04,+256785398528
Lilian Nankya,1963-12-01,+256396425184
Patience Kyeyune,1994-08-21,+256767935224
Betty Mugisha,1971-04-29,+256312551903
Rachel Byaruhanga,1999-07-02,+256799901584
Nabukeera Lubega,1961-05-17,+256718823994
Wasswa Kirabo,1973-11-06,+256726878299
Apio Nambi,1990-05-16,+256717876745
Lydia Achieng,1989-06-23,+256396668663
Sarah Otim,2003-10-11,+256318952696
Joyce Ssebunya,1981-01-22,+256790602286
Lilian Achieng,1998-12-07,+256314821419
Victoria Kato,1986-11-12,+256711686231
Peter Nakato,1986-04-27,+256700771600
Timothy Ochieng,1981-11-27,+256766288789
George Ocen,1976-02-26,+256796913081
Francis Walusimbi,1994-04-27,+256722937176
Betty Okumu,1972-11-02,+256394040453
Kenneth Nambi,2001-03-25,+256747736811
Namukasa Lubega,1985-10-21,+256750157662
Joan Ssebunya,1999-08-18,+256319170395
Paul Adoch,1998-01-24,+256769857817
Babirye Namutebi,1977-11-14,+256757664433
Grace Mukasa,1994-03-19,+256778106886
George Kigozi,1986-06-27,+256396022335
Moses Okello,1964-05-26,+256706640518
Nakato Kigozi,1980-08-23,+256398333700
Lilian Adoch,1977-01-21,+256395910964
Naomi Nankunda,1972-04-08,+256394204819
Namukasa Adoch,1963-07-15,+256311630140
Caroline Okumu,1992-09-24,+256757395785
Nabukeera Kigozi,1989-04-23,+256721512187
Julie Namukasa,1992-10-27,+256772946751
Nabukeera Odongo,1974-10-05,+256798418719
Ssekandi Kigozi,1990-05-22,+256758084065
Ssekandi Ssebunya,1972-08-17,+256717857296
Ssekandi Muwonge,1992-10-24,+256746667458
Amina Nambi,1971-02-01,+256716619862
Naomi Ocen,1983-07-09,+256786183841
Akello Adoch,1993-04-29,+256396392547
Andrew Nalwoga,1989-06-05,+256713922880
Lydia Ssebunya,2001-08-26,+256393713925
Hassan Namukasa,1964-01-25,+256756850067
Betty Tumusiime,1968-09-19,+256705106390
Irene Kyeyune,2000-09-11,+256749018535
Susan Okumu,1973-11-11,+256769062926
Nakato Okot,1996-08-12,+256771661307
Oliver Nalubega,1979-06-29,+256750548888
Nalubega Mukasa,1992-07-15,+256787460758
Emmanuel Kirabo,1992-03-06,+256716162857
Moses Wanyama,1970-12-16,+256706679674
Michael Akello,1961-11-30,+256781538024
Mark Namukasa,1978-05-30,+256705595355
Kevin Okumu,1979-05-17,+256719298063
Tasha Ochieng,1960-04-02,+256745512314
Irene Atim,1982-06-27,+256752427461
Michael Nalwoga,1971-10-28,+256721844258
Apio Mukasa,1989-01-17,+256706010308
Mary Nakato,1971-05-16,+256702923366
Hassan Ssebunya,2002-09-22,+256778826250
Charles Okumu,1969-10-13,+256786074006
Lilian Walusimbi,1963-11-21,+256788453010
Paul Lubega,1962-10-17,+256318748499
Babirye Opio,1998-03-30,+256708035982
Betty Kintu,1999-10-17,+256311811298
Peter Nabunya,1973-04-22,+256711355439
Moses Walusimbi,1989-03-04,+256712117143
Nancy Lubega,2005-05-09,+256778901266
Grace Nalubowa,1970-04-07,+256397217547
Richard Akello,1998-08-01,+256319249870
Susan Asiimwe,2000-09-07,+256783833486
Richard Byaruhanga,1988-01-15,+256776979148
Michael Nambi,1993-07-31,+256775243275
Esther Achieng,1967-08-29,+256727956894
Grace Nalubega,1971-09-03,+256717245685
Hellen Muwonge,1989-07-28,+256791006313
Susan Bbosa,1997-12-10,+256312050700
Isaac Namutebi,1991-07-19,+256704825620
Charles Akello,1973-11-18,+256719695863
Lilian Byaruhanga,1991-05-30,+256318089795
Hassan Odongo,1980-04-15,+256796166651
Tasha Walusimbi,1962-05-10,+256779411442
Brian Nabukeera,1984-07-07,+256394487028
Rebecca Okello,1976-04-10,+256755701311
Michael Opio,1966-03-30,+256729501291
Francis Ssempijja,1979-04-20,+256720514340
Winnie Asiimwe,1974-02-13,+256777043620
Richard Otim,1967-08-15,+256765228407
Joan Walusimbi,1964-06-18,+256702610197
Moses Auma,1998-01-15,+256311368710
Susan Odongo,1979-05-04,+256787416270
Rebecca Kizza,1969-12-12,+256791909540
Betty Ssempijja,1987-09-02,+256759951141
Simon Nabunya,1964-11-30,+256703699685
Paul Akello,1972-04-23,+256703429650
Peter Tumusiime,1960-09-10,+256754856117
Joseph Namukasa,1994-02-09,+256787225192
Charles Muwonge,1991-10-10,+256793860617
Wasswa Mugisha,1999-02-19,+256716661748
Nabukeera Ssebunya,1988-02-01,+256707713396
George Opio,1997-06-21,+256397202195
Simon Nalwoga,1989-02-19,+256751932288
Nakato Nalubowa,1992-06-18,+256727719145
Babirye Byaruhanga,1981-10-29,+256717326807
Simon Ssempijja,1967-01-21,+256779879620
Ruth Asiimwe,1979-11-17,+256775205543
Esther Nabirye,1970-03-25,+256762820798
Julie Bbosa,1991-07-01,+256798555575
Mark Byaruhanga,1973-02-19,+256312477824
Joseph Nabunya,1973-09-18,+256753309671
Joseph Adoch,2004-04-30,+256311264218
Samuel Okumu,2000-04-09,+256789457911
Lydia Adoch,1988-12-29,+256319470600
James Auma,1966-02-15,+256315303930
Kenneth Namutebi,1984-08-22,+256787419020
Rebecca Nabirye,1966-08-28,+256390942411
Victoria Mugisha,1965-02-07,+256757746753
Esther Kirabo,1968-02-06,+256764816353
Charles Kyeyune,2001-07-06,+256399967005
Ssekandi Mugisha,2000-05-06,+256399299885
Peter Nabunya,2002-09-02,+256393158134
Ssekandi Nakato,2000-06-01,+256792531028
Patience Achieng,2005-04-07,+256715761929
Caroline Mukasa,1999-04-10,+256312895058
Diana Walusimbi,1974-03-29,+256788792411
Nabukeera Kigozi,1994-10-03,+256766255418
Naomi Nabunya,1964-09-11,+256775676858
Esther Asiimwe,1968-06-23,+256315614484
Nancy Nambi,1973-06-28,+256796485471
Hellen Nankunda,1972-09-08,+256761367376
Ssekandi Kirabo,1995-03-01,+256765204824
Patience Achieng,1987-10-10,+256729983135
Lydia Asiimwe,1971-06-19,+256796319630
Francis Kirabo,1997-12-26,+256318831414
Brian Nalubega,1987-09-16,+256796070468
Rachel Okot,1977-03-23,+256723593556
James Ssebunya,1986-07-15,+256742307963
Tasha Atim,1963-05-21,+256718517619
Kato Walusimbi,1971-10-04,+256315649968
James Kato,1976-03-22,+256396320310
Richard Auma,1963-12-02,+256392777286
Naomi Mukasa,1999-11-07,+256776111929
Samuel Auma,1980-12-28,+256394780297
Paul Nalukenge,1977-05-28,+256794012581
Victoria Lubega,1985-04-12,+256769570049
Diana Nankya,1974-07-16,+256778437374
Wasswa Nambi,1964-09-05,+256742321942
Wasswa Nalubega,1969-03-15,+256318062973
Nancy Achieng,1974-05-20,+256792091745
Namukasa Nabirye,1973-03-21,+256757538325
Nalubega Ssekandi,2000-06-21,+256771538698
Susan Nakato,1995-07-27,+256760447451
Mark Kyeyune,1967-04-28,+256796274032
Brian Otim,1968-11-20,+256763767135
Apio Ochieng,1972-05-05,+256315625238
Nabukeera Nalukenge,1972-06-13,+256704813037
Joyce Okello,1967-02-09,+256787526283
Kevin Ochieng,1997-12-21,+256704293691
Mark Namutebi,1970-12-06,+256714833542
Susan Adoch,2001-01-03,+256704000351
Nakato Okot,1961-06-22,+256711859886
George Mukasa,1972-11-17,+256318646569
Amina Walusimbi,1991-08-27,+256757201433
Susan Nabukeera,1967-09-06,+256749574148
Esther Ssempijja,2005-07-07,+256796049927
Brian Kyeyune,2002-03-06,+256799297127
Ronald Nambi,1961-06-16,+256706490791
Rebecca Mukasa,1969-04-19,+256761133461
Irene Mugisha,1991-08-10,+256395578736
Akello Kirabo,1975-09-16,+256795679880
Oliver Nalukenge,1976-05-08,+256317795078
Patience Lubega,1963-04-26,+256721058651
Caroline Wanyama,1963-10-05,+256753382135
Charles Opio,2002-06-21,+256765202210
Samuel Kirabo,1977-02-22,+256750614394
Wasswa Nakato,1989-10-11,+256755989032
Okello Nalubega,1999-03-15,+256752088344
Namukasa Kyeyune,1990-06-01,+256777377556
Oliver Okot,1992-12-15,+256728324908
Okello Achieng,1998-01-31,+256794474830
Isaac Nabukeera,1986-05-10,+256717224389
Francis Otim,1986-07-10,+256761721307
Isaac Kintu,1998-03-24,+256757481225
Rebecca Auma,1963-10-19,+256727447546
Moses Adoch,1965-02-22,+256767297090
Ronald Nabirye,1974-05-09,+256716815076
Babirye Nabunya,1999-04-24,+256702395441
Esther Mukasa,1992-11-11,+256702117788
Nalubega Nalugo,1962-11-27,+256766423230
Naomi Auma,1993-04-12,+256392574265
Samuel Ssebunya,1972-05-08,+256767448065
Simon Otim,1985-01-01,+256796156398
Brian Nabukeera,2004-10-08,+256741903351
Nabukeera Muwonge,1970-07-25,+256796492570
Patience Auma,1979-04-02,+256754366937
Oliver Okot,1977-12-16,+256394791184
Babirye Ssebunya,2000-07-21,+256712277144
Francis Ocen,1988-09-02,+256727467726
Patience Ssebunya,1986-01-18,+256315828829
Patience Kintu,1975-08-14,+256752642499
Lilian Tumusiime,1978-01-11,+256768535505
Apio Okot,1962-05-11,+256723971774
George Nalubega,2001-12-06,+256769294937
Joyce Achieng,1965-11-24,+256792177199
Patience Nalukenge,1996-11-07,+256756680015
Esther Namukasa,1988-06-10,+256779645230
Victoria Lubega,2006-05-31,+256311244282
Kato Muwonge,1976-04-28,+256762153097
Charles Nakato,1971-02-20,+256727258130
Paul Kato,1974-07-13,+256792567173
Rebecca Ssempijja,1985-06-25,+256763782763
Julie Adoch,1984-08-15,+256714204459
Joyce Atim,1968-05-19,+256725080553
Hellen Okumu,1973-10-31,+256792829240
Nakato Nalugo,1963-09-11,+256725664316
Caroline Kirabo,1983-09-29,+256701362693
Tasha Nalugo,1997-05-16,+256313536777
Betty Adoch,1985-12-26,+256390508113
Andrew Mukasa,1996-06-06,+256315068298
Esther Nalubowa,1965-05-17,+256757609207
Susan Nalukenge,2001-08-31,+256727375356
Isaac Ochieng,1988-01-16,+256745707484
Simon Namukasa,1993-03-29,+256765794356
Grace Otim,1981-09-08,+256799422943
Moses Auma,1982-03-29,+256782055576
David Kigozi,1994-06-18,+256721624230
Mark Kato,1989-05-17,+256397015136
Julie Kato,2004-09-13,+256395246485
Betty Namutebi,2004-08-14,+256797831858
Nalubega Opio,2005-05-06,+256701510773
Kevin Okumu,1991-08-29,+256784038756
Nancy Okot,2002-03-21,+256700847927
Amina Byaruhanga,1998-08-29,+256759004176
Richard Nalubega,1996-03-05,+256724437118
Simon Nakato,1977-06-18,+256760759041
Nancy Ssebunya,1994-08-29,+256769281540
Samuel Muwonge,1985-02-03,+256797555692
Irene Byaruhanga,1995-05-04,+256391993318
Faith Nalubega,1972-12-10,+256765688907
Simon Nabirye,1963-08-12,+256748541658
Irene Kintu,1989-11-17,+256700652868
Winnie Ochieng,2006-04-01,+256788712957
Mugisha Walusimbi,1988-07-29,+256725502353
Joyce Namutebi,1990-03-06,+256726592683
Emmanuel Okot,1986-11-23,+256798551583
Ronald Asiimwe,1969-10-31,+256780279121
Paul Nalubowa,1962-05-23,+256779792896
Mary Kirabo,1980-05-31,+256397962302
Andrew Kato,1994-02-09,+256709789896
Caroline Nalugo,1969-11-10,+256724063384
Victoria Otim,1997-07-27,+256740317716
Oliver Akello,1996-10-25,+256726928320
Wasswa Nakato,1972-05-21,+256797912226
Faith Otim,2002-12-01,+256793478616
Peter Nabukeera,2001-03-28,+256796322070
Emmanuel Bbosa,1983-09-19,+256795743294
Julie Mukasa,1985-01-11,+256398123194
Lilian Namutebi,1985-12-05,+256795007984
Peter Nalukenge,1991-04-17,+256748204110
Nancy Tumusiime,1994-01-23,+256794587856
Ssekandi Ochieng,1986-01-21,+256775790398
Ssekandi Kintu,1967-02-02,+256704825636
Lydia Nambi,2002-12-24,+256767421839
Akello Atim,1984-04-28,+256743390138
Irene Byaruhanga,1981-06-19,+256794557052
Michael Ssempijja,1980-03-30,+256740851702
David Byaruhanga,1997-01-29,+256313906349
Grace Ocen,1972-05-01,+256767925622
Mugisha Kato,1996-07-03,+256709233383
Andrew Kirabo,1977-11-22,+256317980915
Nancy Kirabo,1965-04-22,+256755388299
Lilian Atim,1963-05-07,+256719632359
Kato Nabukeera,1963-04-05,+256727010946
Joseph Kigozi,1963-05-12,+256778311162
George Nabunya,1969-08-17,+256705006190
Winnie Kirabo,2004-04-23,+256764774152
Winnie Odongo,1977-04-19,+256728459284
Joan Lubega,1983-01-30,+256715547958
Ruth Asiimwe,1986-06-20,+256720236293
Joseph Walusimbi,1996-05-18,+256393240708
Peter Achieng,1995-12-17,+256778644974
Joseph Namukasa,2002-11-01,+256311600296
Amina Nambi,1994-05-30,+256764161539
Samuel Odongo,1989-07-28,+256747494978
Richard Nalugo,1961-01-09,+256759772069
Oliver Mukasa,1965-07-28,+256756032283
Winnie Namutebi,1974-04-30,+256311983483
Mugisha Kintu,1987-11-25,+256778430894
Ronald Walusimbi,1979-10-24,+256714949909
Andrew Ochieng,2000-10-25,+256742240912
Susan Nalubowa,2002-03-29,+256396268384
Samuel Mukasa,1967-05-06,+256793664338
Diana Kintu,1992-06-15,+256797495187
Hassan Nakato,2005-05-07,+256719465180
Emmanuel Ochieng,1974-10-05,+256749608339
Victoria Tumusiime,1978-06-05,+256768729882
Francis Nabirye,1999-12-19,+256398201172
Irene Nabirye,1997-04-08,+256707607331
David Muwonge,2001-06-25,+256789460859
Richard Nalwoga,1995-07-10,+256315170227
Ruth Akello,1966-07-21,+256750050591
Rebecca Nalubowa,1965-09-20,+256707108462
Mugisha Ssebunya,2002-05-08,+256791010921
Susan Nabukeera,1972-02-24,+256704816582
Ronald Kyeyune,2000-03-28,+256317052503
Francis Ocen,1971-12-06,+256776302286
Hassan Nabukeera,1995-04-06,+256315834610
Richard Ssekandi,1960-04-23,+256792136529
Winnie Ocen,1998-01-18,+256705005700
Akello Ssekandi,1982-03-16,+256796363203
James Odongo,1976-11-28,+256785807596
Okello Nankunda,1997-08-11,+256710540516
Mark Akello,1966-01-13,+256390262492
Caroline Auma,1964-05-14,+256719964729
Simon Auma,1981-01-08,+256740742169
Samuel Nakato,1972-07-27,+256793645172
Lilian Nalugo,1988-08-10,+256794853035
Mark Namutebi,1972-11-07,+256395379867
Lilian Nankya,1986-12-16,+256318745141
Faith Okumu,1975-09-17,+256751022699
Faith Okot,1964-03-16,+256317167236
Apio Ssempijja,1988-08-05,+256766394713
James Namutebi,1993-10-09,+256776849452
Andrew Mukasa,1980-03-20,+256729024938
Okello Lubega,1965-03-03,+256752421820
Ssekandi Nankya,1972-01-11,+256796923579
Mary Akello,1989-08-18,+256774074489
Mugisha Auma,1993-04-16,+256311326581
Richard Wanyama,1964-08-15,+256718986473
Naomi Nabunya,1963-07-19,+256756327828
Okello Okumu,1979-06-21,+256713156856
Wasswa Asiimwe,1987-03-14,+256783504577
Mugisha Wanyama,1970-07-11,+256703553544
Oliver Nabunya,1978-05-07,+256784070038
Faith Otim,1985-05-24,+256774015307
Emmanuel Kirabo,1992-03-25,+256777822384
Ronald Nabirye,2004-08-11,+256754388275
Okello Nalukenge,1988-09-23,+256781654371
Peter Nankya,1964-02-07,+256746219396
Ruth Ochieng,1961-06-15,+256393712363
Mugisha Okumu,1997-06-18,+256759283027
Julie Asiimwe,1980-08-20,+256752557039
Nakato Mukasa,2004-10-17,+256779559481
Mary Okot,2004-01-05,+256795663388
Richard Bbosa,1975-03-09,+256782822492
Betty Nabukeera,1965-04-08,+256729169525
Nakato Ssebunya,1964-05-08,+256790567468
Irene Adoch,1980-10-05,+256706918793
Amina Akello,2005-05-15,+256712533857
David Walusimbi,2003-05-08,+256786261268
Brian Okello,1996-11-25,+256318184838
Diana Odongo,1985-09-20,+256700280618
Akello Nalubowa,1998-08-18,+256708425786
Nabukeera Byaruhanga,1973-05-11,+256721795437
Joyce Ssempijja,1982-08-24,+256743220085
Apio Opio,1967-02-02,+256764484964
Winnie Nalugo,1981-10-26,+256766812009
Naomi Achieng,1962-11-04,+256745032739
Sarah Kyeyune,2002-09-14,+256716799441
Oliver Kato,1967-06-02,+256700158547
Lydia Asiimwe,1968-07-21,+256787279795
Lilian Akello,2002-08-29,+256790713900
Mugisha Ssebunya,1985-02-25,+256750781180
Michael Mugisha,1976-02-03,+256799454126
Ssekandi Akello,1972-12-07,+256760262699
Paul Kato,1981-07-28,+256771290796
Naomi Atim,1989-10-05,+256396528964
Apio Nalubowa,1967-01-13,+256772347981
David Byaruhanga,1999-03-19,+256795802559
Rachel Nabunya,1995-08-04,+256741275374
Kenneth Odongo,2000-06-02,+256760497036
Rebecca Muwonge,1993-09-05,+256783827527
Naomi Okumu,1994-02-05,+256773116163
Okello Mukasa,1966-08-05,+256714955645
James Kyeyune,1973-11-03,+256714495824
Ronald Byaruhanga,1968-03-17,+256775312979
Victoria Nalubega,1984-03-14,+256705171869
Francis Nabukeera,1998-08-31,+256712223098
Faith Nabirye,1996-08-09,+256789344658
Francis Bbosa,1968-05-07,+256710440601
Wasswa Kyeyune,1961-02-08,+256395443037
Sarah Achieng,1981-10-11,+256756942580
Joan Ocen,1994-02-26,+256398742683
Moses Namutebi,1984-01-30,+256722329349
Esther Kato,1998-12-30,+256782448380
Paul Nalukenge,1966-11-25,+256757064924
Nalubega Mukasa,2004-06-24,+256764222820
Winnie Byaruhanga,1972-02-26,+256393280754
Nalubega Opio,1989-10-21,+256750113537
Okello Asiimwe,1999-06-30,+256396373495
Akello Kirabo,1972-03-18,+256767224541
Isaac Nalubowa,1978-01-07,+256755379868
Joseph Opio,1988-08-18,+256785271120
Ssekandi Nalugo,1981-09-30,+256758237735
Moses Opio,1992-09-29,+256766309161
Julie Okumu,1976-02-21,+256719459841
Brian Lubega,1978-10-22,+256319229132
Nakato Nalubowa,1966-03-16,+256784887726
Irene Adoch,1987-03-03,+256778376917
Michael Ochieng,1997-12-17,+256744239295
Victoria Nabunya,2002-12-29,+256771240929
Emmanuel Nabirye,1997-07-11,+256396724393
Apio Nalubega,1967-08-16,+256790616817
Michael Nankunda,1991-11-06,+256714164624
George Kirabo,1995-11-07,+256720743175
Grace Okello,1968-11-05,+256767221845
